No.,0_Steering_Wheel,1_Throttle,3_Steering_Wheel,4_Throttle,6_Steering_Wheel,105_Steering_Wheel,144_Steering_Wheel,147_Steering_Wheel,148_Throttle,P_vector_1,P_vector_2,P_vector_3,P_vector_4,Emotion_Real
225,-0.378423459,0.735244751,-0.378423459,0.735244751,-0.378423459,-0.187672612,0.030765961,0.030765961,0.735244751,1,4.73E-12,1.52E-15,1.47E-18,0
226,-6.564340664,0,-6.456116262,0,-6.456116262,-6.403556836,-0.018459576,-0.018459576,0.038558919,1,2.72E-11,6.95E-16,5.11E-15,0
227,0.781474333,0.187718421,0.781474333,0.187718421,0.781474333,0.141523532,0.009229788,0.009229788,0.052479357,1,2.31E-12,3.75E-15,8.96E-16,0
231,0.092297914,0.694058895,0.092297914,0.694058895,0.092297914,0.092297914,0.092297914,0.092297914,0.694058895,1,5.19E-12,1.07E-16,1.47E-16,0
232,-4.381329277,0.765023112,-4.029858426,0.765023112,-4.029858426,-0.187672612,0.021536173,0.021536173,0.765023112,1,2.16E-12,3.30E-16,2.08E-16,0
233,-14.13674453,0.553659856,-14.13674453,0.553659856,-14.13674453,-5.377896553,-2.523446206,-2.523446206,0.327387393,1,1.19E-10,1.11E-15,5.96E-15,0
240,0.092297914,0,0.092297914,0,0.092297914,0.092297914,0.092297914,0.092297914,0.643682837,0.9999994,6.23E-07,6.36E-09,1.20E-08,0
241,0.541487199,0.728500962,0.541487199,0.728500962,0.541487199,0.541487199,0.526103706,0.526103706,0.672789395,0.99999905,1.59E-07,3.07E-08,8.14E-07,0
245,6.162454157,0.3976174,6.162454157,0.3976174,6.162454157,7.303859963,7.155264115,6.923158513,0.511588216,1,4.59E-10,8.05E-16,8.18E-18,0
253,-0.098451108,0.435562819,-0.098451108,0.435562819,-0.098451108,-0.15075334,-0.396883394,-0.396883394,0.407244176,0.99999833,1.64E-06,2.19E-10,5.05E-11,0
257,-0.095374517,0.621263564,-0.095374517,0.621263564,-0.095374517,-0.264588005,-0.510720214,-0.510720214,0.679931283,1,1.58E-08,1.07E-11,7.78E-12,0
262,0.399960007,0.31165567,0.399960007,0.31165567,0.399960007,0.399960007,0.375346803,0.375346803,0.784378171,1,6.79E-11,1.12E-12,1.12E-14,0
263,-0.144600135,0.967181265,-0.307660759,0.967181265,-0.307660759,-0.48918341,-0.286124361,-0.218438743,0.967181265,1,4.76E-08,1.30E-10,8.51E-12,0
264,-2.939156091,0.378052771,-2.939156091,0.378052771,-2.939156091,-2.939156091,-2.698954588,-2.698954588,0.368129671,1,1.41E-12,5.72E-15,2.36E-17,0
270,0.039995752,0,0.039995752,0,0.039995752,0.039995752,0.039995752,0.039995752,0,1,3.30E-12,6.41E-14,4.22E-17,0
278,0.119987315,0.617401898,0.119987315,0.617401898,0.119987315,-0.267664618,-0.246128283,-0.246128283,0.593993545,0.99999964,3.47E-07,1.55E-08,1.08E-09,0
292,0.027689366,0.125655934,0.027689366,0.125655934,0.027689366,0.027689366,0.027689366,0.027689366,0.234635413,0.9999999,2.26E-09,5.98E-08,9.19E-12,0
296,-2.391057354,0.625036359,-2.409529665,0.625036359,-2.409529665,-2.883721574,-2.883721574,-2.883721574,0.625036359,1,1.15E-09,6.38E-10,3.47E-12,0
300,-0.123063917,0.628794491,-0.123063917,0.628794491,-0.123063917,0.049225544,0.104604313,0.104604313,0.628794491,1,3.80E-08,5.53E-08,3.04E-10,0
312,-0.818396337,0,-0.818396337,0,-0.818396337,-0.818396337,-0.818396337,-0.818396337,0,0.99999976,6.84E-08,8.78E-08,1.52E-10,0
315,-3.752465283,0.507278681,-3.752465283,0.507278681,-3.752465283,-3.456654969,-3.456654969,-3.456654969,0.553659856,1,2.12E-08,8.16E-10,7.14E-13,0
322,-2.936076491,0.337734908,-2.936076491,0.337734908,-2.936076491,-3.358067805,-3.41660309,-3.419684057,0.332574993,0.9999752,2.48E-05,2.51E-08,7.32E-10,0
324,-27.83296551,0.617401898,-27.83296551,0.617401898,-27.48385762,-27.42351111,-27.42351111,-27.42351111,0.407244176,1,3.84E-08,3.58E-09,1.96E-12,0
330,0.027689366,0.697558761,0.027689366,0.697558761,0.027689366,0.027689366,0.027689366,0.027689366,0.697558761,1,4.11E-08,3.63E-09,1.06E-11,0
332,-5.594029885,0.687020838,-5.594029885,0.687020838,-5.594029885,-7.359593222,-6.91078207,-6.91078207,0.683482587,1,3.52E-08,3.48E-08,1.32E-10,0
337,0.135370327,0.412021875,0.135370327,0.412021875,0.135370327,0.135370327,0.13844693,0.144600135,0.42150709,1,1.72E-12,2.76E-09,1.28E-11,0
341,-18.22988192,0.609661818,-18.22988192,0.609661818,-18.22988192,-23.88000935,-24.07066326,-24.07066326,0.617401898,1,3.10E-11,4.82E-08,1.49E-08,0
348,0.156906555,0.731878757,0.156906555,0.731878757,0.156906555,0.11383411,0.006153192,0.006153192,0.735244751,1,2.75E-12,1.46E-13,1.39E-15,0
352,8.270696803,0.440203071,8.270696803,0.440203071,8.270696803,0.479953357,0.396883394,0.396883394,0,1,8.68E-11,2.61E-16,8.54E-14,0
354,6.90768813,0.53285265,6.90768813,0.53285265,6.873654105,6.879841985,8.159049333,8.159049333,0.520150185,1,6.55E-09,3.07E-15,2.95E-11,0
355,-3.133194484,0.48099345,-3.133194484,0.48099345,-3.133194484,-3.752465283,-3.752465283,-3.752465283,0.515878677,1,9.50E-12,2.00E-16,6.33E-14,0
358,-0.818396337,0,-0.818396337,0,-0.818396337,-0.818396337,-0.818396337,-0.818396337,0,0.99999785,2.18E-06,1.33E-09,6.72E-09,0
359,-2.738985469,0.735244751,-2.738985469,0.735244751,-2.738985469,-3.358067805,-2.976113688,-2.976113688,0.711433172,0.9999801,1.99E-05,2.14E-12,5.72E-13,0
366,0.15075334,0.306354433,0.15075334,0.306354433,0.15075334,0.15075334,0.15075334,0.15075334,0.31165567,0.9999988,1.14E-06,2.40E-17,3.92E-14,0
379,0.058455335,0.53285265,0.058455335,0.53285265,0.058455335,0.058455335,0.058455335,0.058455335,0.601859391,0.9999962,3.85E-06,3.46E-17,4.25E-15,0
384,-2.22481577,0.875740469,-2.22481577,0.875740469,-2.22481577,-2.609658463,-2.828289105,-2.828289105,0.875740469,1,1.51E-09,1.51E-12,1.25E-14,0
385,-0.061531932,0.494233727,-0.061531932,0.494233727,-0.061531932,-0.061531932,-0.061531932,-0.061531932,0.48099345,0.99999917,8.43E-07,1.02E-11,1.80E-11,0
391,7.997823026,0.837204337,7.997823026,0.837204337,7.997823026,3.656935186,3.268730026,3.268730026,0.821964324,1,1.19E-09,7.44E-11,9.74E-14,0
405,-1.049165112,0.711433172,-1.049165112,0.711433172,-1.049165112,0.904548589,0.301507512,0.061531932,0.70104605,0.99999917,7.86E-07,1.01E-12,9.41E-11,0
409,0.633788879,0.569989383,0.633788879,0.569989383,0.501490161,0.043072349,0.043072349,0.043072349,0.586063266,0.99995327,4.67E-05,2.02E-11,2.20E-10,0
414,-7.802557231,0.601859391,-7.802557231,0.601859391,-7.802557231,-3.709321513,-2.5049727,-2.5049727,0.593993545,0.9999999,1.07E-07,3.32E-14,1.18E-12,0
415,-2.338720532,0.494233727,-2.338720532,0.494233727,-2.338720532,-2.301777617,-2.301777617,-2.301777617,0.524402857,1,4.69E-09,2.42E-13,7.78E-13,0
419,-6.221176199,0.368129671,-6.221176199,0.368129671,-6.221176199,-6.038844726,-4.476926633,-4.476926633,0.337734908,1,7.23E-09,4.34E-14,3.53E-12,0
421,-3.342664339,0.79391247,-3.342664339,0.79391247,-3.342664339,-2.889880775,-2.535761877,-2.535761877,0.821964324,1,6.79E-11,3.02E-14,1.90E-13,0
423,0.304584125,0.337734908,0.304584125,0.337734908,0.304584125,0.246128283,0.178442794,0.178442794,0.347972929,1,1.10E-11,4.22E-14,4.24E-15,0
428,-1.187632591,0.672789395,-1.187632591,0.672789395,-1.119936689,-0.301507512,-0.036919155,0.003076596,0.672789395,1,4.33E-11,1.13E-13,5.35E-13,0
431,1.123013729,0,1.123013729,0,1.123013729,1.123013729,1.123013729,1.123013729,0,0.99999964,3.73E-07,1.06E-13,9.47E-12,0
432,0.039995752,0,0.039995752,0,0.039995752,0.049225544,0.049225544,0.049225544,0,1,1.85E-09,3.56E-17,1.46E-15,0
434,-0.501490161,0,-0.501490161,0,-0.501490161,-0.556870734,-0.556870734,-0.556870734,0,0.9999999,8.28E-08,1.44E-15,6.87E-14,0
442,0.329197201,0.831137121,0.329197201,0.831137121,0.329197201,0.60302151,0.864549119,0.864549119,0.831137121,0.9999999,1.73E-07,2.92E-15,7.26E-13,0
444,-0.076914918,0,-0.076914918,0,-0.076914918,-0.064608529,-0.021536173,-0.021536173,0,0.9999988,1.19E-06,6.83E-12,3.55E-10,0
449,0.415343329,0.628794491,0.415343329,0.628794491,0.33535047,-0.796858423,-0.796858423,-0.796858423,0.621248782,0.99999285,7.20E-06,4.46E-12,1.31E-09,0
452,-0.5384105,0.636267304,-0.5384105,0.636267304,-0.572254312,-1.181478341,-0.975317776,-0.470723347,0.636267304,0.9999906,9.47E-06,2.38E-12,4.64E-10,0
456,-2.021651414,0.284833223,-2.021651414,0.284833223,-2.021651414,-2.040120141,-2.172483558,-2.209423913,0.306354433,0.9999924,7.62E-06,1.07E-11,2.00E-09,0
457,-3.41660309,0.840223789,-3.41660309,0.840223789,-3.41660309,-1.233789556,0.01538298,0.061531932,0.8462345,0.99999654,3.51E-06,6.47E-11,1.73E-10,0
459,-1.009164276,0.617401898,-1.009164276,0.617401898,-1.009164276,0.332273835,0.523027008,0.523027008,0.625036359,0.9999995,4.31E-07,8.79E-13,1.23E-11,0
460,41.08885551,0.621263564,41.08885551,0.621263564,41.08885551,43.51094291,43.51094291,43.51094291,0.621248782,0.9999763,2.37E-05,7.40E-12,1.62E-12,0
466,-1.618457784,0.628794491,-1.618457784,0.628794491,-1.436888017,-3.099312733,-3.348825589,-3.546006404,0,0.9999994,5.27E-10,5.58E-07,1.69E-09,0
467,0.5384105,0.725111425,0.5384105,0.725111425,0.5384105,0.526103706,0.526103706,0.526103706,0.758484423,0.99999857,1.43E-09,1.46E-06,1.29E-10,0
472,2.070901465,0.784378171,2.070901465,0.784378171,2.070901465,2.566551737,3.025392077,3.025392077,0.748592794,0.9999988,1.02E-06,1.44E-07,1.41E-09,0
478,-0.172289578,0.787566721,-0.104604313,0.787566721,-0.104604313,0.295354243,0.172289578,0.172289578,0.150950924,0.9999975,1.93E-08,2.52E-06,1.30E-09,0
482,-0.098451108,0.045544166,-0.098451108,0.045544166,-0.098451108,-0.098451108,-0.098451108,-0.098451108,0.031522881,0.9999833,1.64E-05,3.52E-07,1.48E-09,0
