No.,0_Steering_Wheel,1_Throttle,3_Steering_Wheel,4_Throttle,6_Steering_Wheel,105_Steering_Wheel,144_Steering_Wheel,147_Steering_Wheel,148_Throttle,P_vector_1,P_vector_2,P_vector_3,P_vector_4,Emotion_Real
2091,-1.532287522,0.711433172,-1.532287522,0.711433172,-1.532287522,-2.357192161,-2.698954588,-2.698954588,0.748592794,9.17E-07,0.99999905,4.11E-13,1.99E-08,1
2094,-0.218438743,0.672789395,-0.218438743,0.672789395,-0.218438743,-0.153829953,-0.076914918,-0.076914918,0.672789395,3.18E-06,0.9999968,3.07E-12,1.14E-08,1
2100,4.131587328,0,4.131587328,0,4.131587328,6.180997313,4.085345521,4.085345521,0,1.61E-08,1,1.29E-13,1.01E-09,1
2110,8.236579472,0.53285265,8.236579472,0.53285265,8.236579472,5.640352267,5.519920083,5.526095672,0.53285265,9.13E-09,1,1.42E-15,4.93E-10,1
2117,-3.761710572,1,-3.761710572,1,-3.761710572,-9.214500825,-5.807136536,-5.807136536,1,7.62E-11,1,6.40E-17,7.22E-11,1
2120,0.689170519,0,0.689170519,0,0.689170519,0.689170519,0.689170519,0.689170519,0,1.13E-05,0.9999882,2.22E-11,4.23E-07,1
2126,-1.886219663,0.609661818,-1.886219663,0.609661818,-1.886219663,-1.744640661,-1.670776681,-1.670776681,0.628794491,2.42E-09,1,5.65E-14,1.46E-08,1
2128,-6.536509542,0,-6.536509542,0,-6.536509542,-6.459208154,-5.55079837,-5.55079837,0,1.34E-12,1,2.85E-15,3.50E-10,1
2129,-0.661479635,0.728500962,-0.661479635,0.728500962,-0.661479635,-0.661479635,-0.661479635,-0.661479635,0.718296468,9.37E-08,0.9999999,3.51E-13,2.70E-09,1
2134,17.85277493,0,17.85277493,0,17.86235515,13.93207605,11.60169383,11.60169383,0.240343273,2.15E-07,0.99999964,4.29E-12,7.33E-08,1
2135,-2.415687159,0.748592794,-2.415687159,0.748592794,-2.415687159,-3.003832824,-3.582981413,-3.582981413,0.74194181,3.75E-09,1,7.46E-14,1.63E-10,1
2137,-1.726174495,0.687020838,-1.726174495,0.687020838,-1.726174495,0.33535047,0.338427104,0.338427104,0.687020838,3.57E-05,0.9999629,8.21E-08,1.30E-06,1
2140,-0.833780512,0.524402857,-0.833780512,0.524402857,-0.815319468,-0.043072349,15.43731788,15.43731788,0.010074752,7.30E-06,0.99997246,3.83E-06,1.64E-05,1
2144,-1.886219663,0.472076327,-1.886219663,0.472076327,-1.886219663,-1.886219663,-1.886219663,-1.886219663,0.617401898,2.79E-08,1,8.53E-10,3.10E-10,1
2147,-0.119987315,0,0.156906555,0,0.156906555,1.550752322,1.73232977,1.73232977,0,1.24E-05,0.99992895,5.87E-05,2.15E-08,1
2150,-11.63295416,1,-11.63295416,1,-11.63295416,-11.63295416,-10.69003373,-10.69003373,1,7.11E-10,1,5.30E-14,3.05E-10,1
2152,0.009229788,0.636267304,0.009229788,0.636267304,0.009229788,0.270741252,0.270741252,0.270741252,0.636267304,3.53E-11,1,1.21E-11,6.94E-11,1
2153,-11.63295416,1,-11.63295416,1,-11.63295416,-11.0737902,-10.27860797,-10.27860797,1,2.19E-08,1,4.91E-11,1.26E-10,1
2154,-2.351034837,0.977700114,-2.351034837,0.977700114,-2.351034837,-2.351034837,-2.351034837,-2.314091751,0.977700114,8.95E-09,1,9.98E-13,2.31E-11,1
2155,0.621481915,1,0.621481915,1,0.621481915,0.618405216,0.310737394,0.310737394,1,2.62E-10,1,5.08E-13,3.63E-10,1
2156,-1.833895987,0.205579907,-1.833895987,0.211461216,-1.833895987,-3.105473299,-3.31185775,-3.31185775,0.223117679,7.04E-13,1,4.51E-16,9.91E-14,1
2157,-0.233821809,0.78117913,-0.233821809,0.78117913,-0.255358144,-0.58763789,-0.449186628,-0.218438743,0,2.42E-11,1,5.10E-15,1.44E-12,1
2161,25.81546524,0.643682837,25.81546524,0.643682837,25.81546524,22.04564494,21.99683156,21.99683156,0.621248782,1.06E-13,1,1.79E-15,8.37E-13,1
2166,-0.323043932,0.818887293,-0.323043932,0.818887293,-0.323043932,-0.323043932,-0.323043932,-0.323043932,0.494233727,3.43E-10,1,3.86E-14,5.39E-12,1
2170,0.212285517,0.70104605,0.212285517,0.70104605,0.212285517,0.212285517,0.212285517,0.212285517,0.694058895,6.01E-15,1,3.17E-20,5.71E-16,1
2172,-4.945806061,0.002827748,-4.945806061,0.002827748,-4.757607642,-4.504682302,-4.504682302,-4.504682302,0,1.79E-15,1,3.76E-20,1.06E-15,1
2175,-5.038377761,0.945794284,-5.038377761,0.945794284,-5.038377761,-5.038377761,-5.038377761,-5.038377761,0.926684916,5.59E-17,1,1.99E-21,1.71E-16,1
2176,-1.16301576,0.651041925,-1.16301576,0.651041925,-1.199941007,-1.363032573,-1.692320057,-1.849285112,0.704520822,1.54E-18,1,1.89E-21,4.25E-15,1
2177,11.46417976,0,11.46417976,0,11.46417976,20.23105279,14.60643073,14.60643073,0.079733536,1.47E-16,1,3.65E-18,2.34E-13,1
2182,-1.08608925,0.665594399,-1.08608925,0.679931283,-1.08608925,-1.08608925,-0.618405216,-0.458416638,0.70104605,1.29E-17,1,3.97E-19,5.74E-14,1
2187,0.624558656,0.940372884,0.624558656,0.940372884,0.624558656,1.378418967,1.470739212,1.470739212,0.93765074,8.32E-17,1,1.51E-19,3.51E-16,1
2188,-0.458416638,0.169521064,-0.458416638,0.169521064,-0.458416638,0.350733663,0.695324044,0.695324044,0,1.33E-13,1,2.06E-15,1.82E-15,1
2189,23.27644588,0.625036359,25.0202837,0.625036359,25.0202837,32.70968439,32.69234303,32.69234303,0.774749041,1.11E-10,1,2.94E-12,4.80E-13,1
2191,-0.323043932,0.502949893,-0.323043932,0.502949893,-0.323043932,-0.323043932,-0.323043932,-0.323043932,0.735244751,5.68E-11,1,2.91E-12,4.09E-12,1
2200,0.132293725,0.609661818,0.132293725,0.609661818,0.132293725,0.132293725,0.132293725,0.132293725,0.774749041,4.53E-12,1,3.94E-16,1.37E-12,1
2201,-2.295620635,0.463076323,-2.295620635,0.463076323,-2.295620635,-2.295620635,-2.295620635,-2.295620635,0.449417353,7.02E-12,1,2.10E-14,2.15E-13,1
2209,0.052302141,0.636267304,0.052302141,0.636267304,0.052302141,0.052302141,0.052302141,0.052302141,0.636267304,4.84E-17,1,6.21E-17,1.07E-14,1
2211,-6.496311537,0,-6.496311537,0,-6.496311537,-5.912168669,-5.201946204,-5.201946204,0,2.09E-13,1,2.48E-15,7.65E-13,1
2213,4.813137415,0.494233727,4.813137415,0.494233727,4.813137415,4.884096943,3.197880094,3.197880094,0.494233727,1.42E-10,1,2.09E-12,4.13E-12,1
2215,0.107680916,0.78117913,0.107680916,0.78117913,0.107680916,0.107680916,0.110757508,0.110757508,0.784378171,1.90E-10,1,8.59E-16,3.18E-13,1
2220,-0.944548401,0.725111425,-0.944548401,0.725111425,-0.944548401,-1.07993517,-1.467661831,-1.467661831,0.725111425,4.73E-08,1,3.84E-13,1.06E-11,1
2223,-5.674323812,0.086428814,-5.674323812,0.086428814,-5.674323812,-5.674323812,-5.674323812,-5.674323812,0.169521064,3.26E-08,1,1.07E-08,2.17E-11,1
2225,0.11383411,0.665594399,0.169212976,0.665594399,0.169212976,0.172289578,0.172289578,0.172289578,0.665594399,3.37E-09,1,5.45E-10,4.14E-11,1
2230,-2.775938115,0.74194181,-2.775938115,0.74194181,-2.775938115,-1.95085645,-1.969324494,-1.969324494,0.704520822,2.38E-11,1,4.34E-11,8.53E-13,1
2235,2.911438662,0.106241122,2.911438662,0.106241122,2.812891615,-3.502870486,-3.582981413,-3.582981413,0,1.25E-09,1,1.32E-09,6.61E-13,1
2245,-0.252281509,0.893021643,-0.252281509,0.893021643,-0.252281509,-0.252281509,-0.252281509,-0.252281509,0.887295485,2.27E-10,1,7.58E-09,7.22E-13,1
2252,3.8664962,0.923923969,3.8664962,0.923923969,3.8664962,3.619957787,3.524438274,3.524438274,0.553659856,9.15E-08,0.9999974,2.49E-06,9.54E-12,1
2255,-2.812891615,0.748592794,-2.812891615,0.748592794,-2.812891615,-3.065432005,-3.086992623,-3.086992623,0.748592794,2.57E-12,1,7.98E-15,2.74E-10,1
2258,-3.086992623,0.70104605,-3.086992623,0.70104605,-3.086992623,-3.086992623,-3.521357308,-3.663098143,0.694058895,1.41E-07,0.9999999,2.32E-11,4.98E-08,1
2268,0.753783023,0,0.753783023,0,0.753783023,0.753783023,0.753783023,0.753783023,0,6.98E-06,0.9999919,2.90E-07,8.69E-07,1
2270,-1.744640661,0.609661818,-1.744640661,0.609661818,-1.744640661,-1.347646178,-1.347646178,-1.347646178,0.672789395,2.91E-08,0.99999964,4.78E-08,2.13E-07,1
2272,2.178640198,0.923923969,2.178640198,0.923923969,2.178640198,-2.658924561,-3.071592231,-3.290293717,0.909999669,3.62E-07,0.9999968,6.77E-07,2.12E-06,1
2277,-1.458429687,0,-1.458429687,0,-1.439965399,-1.22763522,-1.064550141,-1.064550141,0,5.10E-08,0.9999989,3.20E-08,9.06E-07,1
2279,-1.941622599,0.643682837,-1.941622599,0.643682837,-1.978558516,-0.547640639,-0.409190017,-0.409190017,0.672789395,2.24E-09,1,1.44E-11,1.61E-09,1
2282,-2.070901465,0,-2.070901465,0,-2.070901465,-2.070901465,-2.070901465,-2.070901465,0,9.74E-09,1,3.30E-08,1.11E-08,1
2283,-1.483048737,0.010074752,-1.483048737,0.010074752,-1.483048737,-1.141476139,-1.184555466,-1.184555466,0,1.05E-10,1,7.39E-15,1.87E-10,1
2284,-2.812891615,0.449417353,-2.812891615,0.458544701,-2.812891615,-2.381821454,-2.277149518,-2.277149518,0.53285265,3.64E-09,1,3.87E-13,6.89E-10,1
2286,-4.051436456,1,-4.051436456,1,-4.045271109,-4.230243459,-4.230243459,-4.230243459,1,1.00E-12,1,1.61E-15,2.28E-11,1
2289,2.428002147,0.515878677,2.428002147,0.515878677,2.304856193,2.209423913,2.391057354,2.391057354,0.502949893,1.48E-13,1,3.72E-16,1.84E-13,1
2290,-0.252281509,0.893021643,-0.252281509,0.893021643,-0.252281509,-0.246128283,-0.22459197,-0.22459197,0.687020838,9.58E-10,1,2.44E-14,9.57E-12,1
2300,7.251228156,0,8.17765531,0,8.17765531,18.23627874,21.67820694,21.67820694,0.031522881,2.20E-08,1,4.41E-11,8.88E-10,1
2303,-0.661479635,0,-0.661479635,0,-0.661479635,-0.661479635,-0.661479635,-0.661479635,0,1.58E-06,0.99999845,4.18E-09,7.24E-09,1
2304,1.566139741,0.735244751,1.566139741,0.735244751,1.566139741,1.538442455,0.027689366,0.027689366,0,3.34E-10,1,8.63E-15,1.39E-10,1
2309,0.541487199,0.435562819,0.541487199,0.435562819,0.541487199,-0.092297914,-1.024549134,-1.187632591,0.524402857,1.87E-12,1,4.97E-16,2.38E-11,1
2311,1.907765088,0.704520822,1.907765088,0.704520822,1.907765088,0.923010061,-0.110757508,-0.110757508,0.704520822,1.00E-09,1,1.08E-12,9.30E-10,1
2323,0.073838321,0.907190621,0.073838321,0.907190621,0.073838321,0.009229788,-0.11383411,-0.119987315,0.926684916,2.10E-06,0.9999963,1.65E-07,1.47E-06,1
2324,9.945404071,0.8462345,9.945404071,0.8462345,9.945404071,22.20844041,25.70923473,25.70923473,0.972454965,3.05E-12,1,4.80E-09,8.53E-11,1
2325,-0.135370327,0.138386071,-0.135370327,0.045544166,-0.135370327,0.132293725,0.132293725,0.132293725,0.593993545,2.46E-11,1,2.51E-08,9.52E-10,1
2330,0.295354243,0.636267304,0.295354243,0.636267304,0.276894478,0.135370327,-0.01538298,-0.058455335,0.636267304,9.37E-11,1,3.66E-08,3.90E-08,1
2331,7.297667986,0.872830033,7.297667986,0.872830033,7.297667986,7.16145541,5.757714751,5.757714751,0.858145058,2.86E-12,1,3.53E-10,1.17E-09,1
2344,-1.046088072,0.625036359,-0.904548589,0.625036359,-0.904548589,-0.073838321,-0.301507512,-0.301507512,0.079733536,4.51E-13,1,1.08E-10,2.10E-09,1
2354,8.273798254,0.98551482,8.273798254,0.98551482,8.273798254,2.711271625,1.381496263,0.350733663,0,1.14E-09,1,4.70E-11,9.71E-10,1
2357,-0.479953357,0.751901269,-0.479953357,0.751901269,-0.458416638,0.11383411,0.11383411,0.11383411,0.765023112,7.94E-12,1,2.19E-11,5.65E-10,1
2358,27.04515589,1,27.04515589,1,27.39669741,27.90354914,25.16910966,23.05714282,1,6.05E-11,1,8.82E-15,6.02E-09,1
2360,-1.990870772,0.636267304,-1.990870772,0.636267304,-1.990870772,-1.990870772,-1.990870772,-1.990870772,0.665594399,2.82E-10,0.99999917,1.25E-13,8.08E-07,1
2364,-1.452274924,0.327387393,-1.452274924,0.327387393,-1.452274924,-1.452274924,-1.590759815,-1.590759815,0.951185524,1.49E-14,1,2.32E-11,2.87E-11,1
2365,-0.999933413,0,-0.999933413,0,0.298430877,1.556907426,1.455352305,1.455352305,0,5.26E-12,1,6.62E-10,3.51E-12,1
2368,0.390730082,0.578051984,0.390730082,0.578051984,0.390730082,0.415343329,0.415343329,0.415343329,0.601859391,5.73E-13,1,1.23E-12,1.57E-09,1
2369,1.17532409,0.907190621,1.17532409,0.907190621,1.156861595,0.98454864,2.215580553,2.215580553,0.921155095,1.30E-16,1,5.94E-17,5.98E-11,1
2370,15.38670045,0,15.38670045,0,15.5987231,14.06430768,12.81034076,12.81034076,0,1.80E-06,0.9999969,2.81E-09,1.36E-06,1
2377,2.612737552,0.909999669,2.612737552,0.909999669,2.612737552,1.873908089,0.923010061,0.923010061,0.964533627,6.34E-06,0.9999937,1.31E-10,1.74E-08,1
2378,1.796962289,0.181690574,1.796962289,0.181690574,1.796962289,1.796962289,1.803117905,1.803117905,0.412021875,1.62E-10,1,3.38E-17,8.88E-13,1
2388,6.975760959,0.621248782,7.703401604,0.617401898,7.703401604,19.92797093,25.0202837,25.0202837,0.625036359,2.43E-09,1,6.61E-15,8.95E-11,1
2393,-0.132293725,0.458544701,-0.132293725,0.458544701,-0.132293725,-0.132293725,-0.132293725,-0.132293725,0.458544701,5.67E-09,1,3.60E-13,3.62E-10,1
2395,-1.652311027,0,-1.652311027,0,-1.649233475,-1.52921014,-1.52921014,-1.52921014,0,5.21E-11,1,7.51E-15,4.76E-11,1
2405,1.098397409,0,1.098397409,0,1.098397409,1.098397409,1.08301221,1.08301221,0,1.42E-10,1,8.68E-16,8.76E-12,1
2407,-0.22459197,0.704520822,-0.22459197,0.704520822,-0.22459197,-0.203055678,-0.172289578,-0.172289578,0.687020838,2.77E-10,1,1.17E-17,4.65E-13,1
2409,0.689170519,0,0.689170519,0,0.689170519,0.689170519,0.689170519,0.689170519,0,4.75E-11,1,1.32E-17,1.70E-13,1
2421,-5.643440403,0.818887293,-5.643440403,0.818887293,-5.643440403,-5.671235334,-5.671235334,-5.671235334,0.426215053,1.19E-13,1,5.11E-16,3.62E-11,1
2428,-0.516873611,0.915593445,-0.516873611,0.915593445,-0.467646648,0.055378738,0.341503738,0.341503738,0.890162826,1.14E-10,0.99999976,3.86E-14,1.98E-07,1
2431,-3.188639244,0.553659856,-3.188639244,0.553659856,-3.188639244,-3.330341499,-2.591183933,-2.591183933,0.586063266,8.65E-09,0.99998057,5.84E-12,1.95E-05,1
2433,0.689170519,0,0.689170519,0,0.689170519,0.689170519,0.689170519,0.689170519,0,3.05E-09,0.99999774,1.13E-12,2.30E-06,1
2434,-1.452274924,0.617401898,-1.452274924,0.617401898,-1.452274924,-1.590759815,-1.590759815,-1.590759815,0.972454965,1.14E-09,0.9999908,2.51E-12,9.18E-06,1
2441,-1.990870772,0,-1.990870772,0,-1.975480451,-1.867752303,-1.486126119,-1.486126119,0,6.95E-12,0.9999999,8.65E-14,1.44E-07,1
2454,-0.16305976,0.687020838,-0.107680916,0.687020838,-0.107680916,0.910702413,1.78772895,1.78772895,0.694058895,1.01E-11,0.9999999,6.30E-14,1.72E-07,1
2461,-31.30477198,1,-31.30477198,1,-31.30477198,-27.92708247,-22.49202314,-20.01176065,1,6.47E-11,0.99999976,3.65E-14,2.83E-07,1
2462,6.935534957,0.53285265,6.935534957,0.53285265,6.935534957,6.573617705,6.51177236,6.51177236,0.524402857,1.88E-11,0.9999994,2.91E-14,5.57E-07,1
2465,1.569217293,0.926684916,1.569217293,0.926684916,1.569217293,1.550752322,1.563062359,1.563062359,0.926684916,8.45E-09,0.9999498,2.11E-10,5.01E-05,1
2467,-2.086292469,0.458544701,-2.030885777,0.458544701,-2.030885777,-1.907765088,-1.95085645,-1.95085645,0.463076323,5.06E-10,0.99999726,5.86E-12,2.72E-06,1
2470,-0.870702857,0.725111425,-0.870702857,0.725111425,-0.898394851,-1.870830196,-1.833895987,-1.73232977,0.748592794,1.31E-12,0.99999964,8.62E-12,3.09E-07,1
2473,0.84301112,0.852208078,0.84301112,0.852208078,0.84301112,-0.006153192,-0.178442794,-0.178442794,0.809597135,1.52E-11,1,1.00E-13,9.49E-10,1
2475,3.752465283,0.609661818,3.78020149,0.609661818,3.78020149,6.545786583,7.217174329,7.217174329,0.809597135,3.05E-14,1,6.53E-16,5.29E-10,1
2477,3.398117976,0.784378171,3.398117976,0.784378171,3.398117976,1.599992472,1.009164276,1.009164276,0.694058895,6.19E-15,0.9999999,1.11E-13,1.21E-07,1
2485,1.873908089,0.628794491,1.873908089,0.628794491,1.873908089,-0.784551203,0.556870734,0.556870734,0.800216854,1.25E-14,0.99999964,2.10E-12,3.69E-07,1
2492,11.30485243,0.561859071,11.30485243,0.561859071,11.30485243,9.450746475,9.469402982,9.469402982,0.621248782,2.64E-12,0.99999964,3.18E-13,3.00E-07,1
2493,-2.227894175,0.821964324,-2.227894175,0.875740469,-2.227894175,-2.501893782,-2.501893782,-2.501893782,0.967181265,1.28E-09,0.9999553,1.64E-09,4.46E-05,1
2499,-0.338427104,0.88441962,-0.338427104,0.88441962,-0.338427104,-1.519977826,-1.409192012,-1.409192012,0.88441962,3.28E-08,0.9999746,1.61E-11,2.54E-05,1
2501,0.870702857,0.858145058,0.870702857,0.858145058,0.870702857,0.769167113,0.206132291,0.058455335,0.828089178,1.20E-06,0.9996537,1.01E-09,0.000345145,1
2503,0.695324044,0,0.695324044,0,0.695324044,0.695324044,0.695324044,0.695324044,0,9.72E-05,0.99981266,8.92E-05,9.94E-07,1
2505,-0.033842558,0,-0.033842558,0,-0.033842558,0.076914918,0.110757508,0.110757508,0,6.04E-06,0.9999939,6.24E-09,8.58E-11,1
2510,-3.542925437,0.621248782,-3.542925437,0.621248782,-3.542925437,-3.441250137,-2.317170327,-2.317170327,0.621248782,4.75E-05,0.99995255,2.57E-10,2.00E-11,1
2520,1.07993517,0,1.07993517,0,1.07993517,1.07993517,1.07993517,1.07993517,0,1.73E-06,0.9999982,9.40E-12,1.10E-13,1
2526,-0.42149664,0,-0.42149664,0,-0.42149664,-0.42149664,-0.42149664,-0.42149664,0,1.01E-09,1,4.08E-14,6.95E-13,1
2529,14.52441912,0.199662626,14.52441912,0.199662626,14.52441912,14.54334194,11.23302057,11.23302057,0.217307001,4.91E-13,1,7.95E-19,2.27E-16,1
2535,-3.3056965,0,-3.3056965,0,-3.3056965,-10.34091833,-11.73613239,-11.73613239,0,1.07E-12,1,4.51E-19,4.61E-15,1
2541,-0.252281509,0.65834552,-0.252281509,0.65834552,-0.252281509,-0.252281509,-0.252281509,-0.252281509,0.901547909,4.25E-16,1,9.98E-22,8.23E-18,1
2542,-2.837527736,0.628794491,-2.837527736,0.628794491,-2.837527736,-4.834733199,-7.062411086,-7.062411086,0.079733536,2.35E-09,1,1.42E-15,2.04E-14,1
2545,-0.252281509,0.872830033,-0.252281509,0.872830033,-0.252281509,-0.212285517,-0.212285517,-0.212285517,0.735244751,1.22E-13,1,1.94E-18,5.98E-16,1
2552,34.37380766,0.038558919,34.37380766,0.038558919,34.37380766,37.62334754,34.32117722,34.32117722,0.926684916,5.54E-17,1,5.22E-25,1.05E-21,1
2557,-1.470739212,0.53285265,-1.470739212,0.53285265,-1.470739212,-1.747718384,-1.904687195,-1.932388577,0.472076327,3.15E-15,1,1.05E-22,7.80E-19,1
2560,-0.42149664,0,-0.42149664,0,-0.42149664,-0.42149664,-0.42149664,-0.42149664,0,3.71E-13,1,4.02E-22,7.87E-18,1
2561,18.2490724,0.628794491,18.2490724,0.628794491,18.36424946,18.36424946,18.36424946,18.36424946,0.872830033,1.16E-17,1,5.40E-23,1.76E-17,1
2566,-0.523027008,0.943087399,-0.523027008,0.943087399,-0.523027008,-0.639942362,-0.461493294,-0.461493294,0.977700114,1.33E-12,1,3.12E-18,1.91E-14,1
2575,-2.274070942,0.91280061,-2.206345507,0.91280061,-2.206345507,-1.855440899,-1.716941498,-1.716941498,0.93765074,3.19E-14,1,1.29E-17,4.63E-13,1
2585,0.430726608,0.031522881,0.430726608,0,0.430726608,-0.199979065,-0.199979065,-0.199979065,0,8.85E-16,1,2.11E-20,3.13E-17,1
2587,-0.052302141,0.915593445,-0.052302141,0.915593445,-0.052302141,-0.098451108,-0.519950309,-0.772243896,0.765023112,2.15E-11,1,1.91E-20,3.19E-16,1
2589,2.335641785,0.679931283,2.335641785,0.679931283,2.335641785,2.63737043,3.404279567,3.58606272,0.679931283,5.03E-10,1,2.88E-17,2.07E-14,1
2594,-0.461493294,0.578051984,-0.461493294,0.578051984,-0.461493294,-0.433803306,-0.159983158,-0.159983158,0.586063266,7.59E-15,1,2.43E-18,1.19E-13,1
2600,-0.323043932,0.494233727,-0.323043932,0.494233727,-0.323043932,-0.323043932,-0.319967297,-0.319967297,0.561859071,7.65E-18,1,1.23E-24,1.59E-20,1
2609,-2.862164199,0.002827748,-2.862164199,0.002827748,-2.862164199,-2.834448136,-2.0739797,-2.0739797,0.002827748,3.11E-12,1,1.70E-16,3.38E-13,1
2610,0.341503738,0.890162826,0.341503738,0.890162826,0.443033274,0.498413463,0.498413463,0.498413463,0.890162826,1.04E-12,1,3.60E-14,1.59E-12,1
2612,0.689170519,0,0.689170519,0,0.689170519,0.689170519,0.689170519,0.689170519,0,7.06E-11,1,3.30E-18,6.59E-15,1
2613,-18.69088651,0.378052771,-18.69088651,0.378052771,-18.69088651,-22.63559808,-24.41631052,-24.41631052,0.545390606,1.42E-14,1,2.24E-19,2.04E-14,1
2616,-2.311013346,0.53285265,-2.289463482,0.53285265,-2.289463482,-2.295620635,-2.372585384,-2.381821454,0.569989383,1.69E-12,1,1.44E-14,5.53E-12,1
2618,0.507643558,0,0.507643558,0,0.473800003,0.255358144,0.252281509,0.252281509,0,6.65E-13,1,1.04E-14,3.11E-12,1
2622,2.53268296,0.875740469,2.53268296,0.875740469,2.369506637,2.609658463,3.296454967,3.635364667,0.412021875,6.72E-12,1,7.77E-17,3.00E-12,1
2623,0.470723347,0.768275976,0.470723347,0.774749041,0.470723347,0.344580373,-0.390730082,-0.390730082,0.79391247,2.04E-13,1,2.73E-17,9.63E-15,1
2628,4.529354955,0.694058895,4.529354955,0.694058895,4.529354955,2.671241427,2.4249234,2.4249234,0.347972929,2.04E-12,1,5.81E-14,3.51E-11,1
2639,2.431080894,0.017267888,2.431080894,0,2.431080894,2.4464748,2.4249234,2.412608412,0.48099345,1.58E-11,1,1.75E-15,8.09E-13,1
2646,1.513822892,0.953869879,1.513822892,0.953869879,1.513822892,-0.301507512,-0.135370327,-0.135370327,0.959216416,5.26E-13,1,3.79E-19,4.11E-17,1
2649,-0.027689366,0,-0.027689366,0,-0.027689366,1.212249508,1.212249508,1.212249508,0.144688889,6.92E-10,1,3.54E-15,3.30E-13,1
2652,-0.670709901,0.193708956,-0.670709901,0.193708956,-0.670709901,0.295354243,0.119987315,0.119987315,0,3.87E-10,1,1.96E-16,1.46E-13,1
2658,-2.046276269,0.617401898,-2.046276269,0.617401898,-2.033963841,-1.830818093,-1.501513196,-1.501513196,0.617401898,5.79E-09,1,1.93E-13,1.37E-10,1
2663,1.76618472,0.704520822,1.62769044,0.704520822,1.62769044,0.098451108,-0.301507512,-0.301507512,0.718296468,1.91E-14,1,1.73E-21,3.54E-17,1
2664,-2.289463482,0.628794491,-2.289463482,0.628794491,-2.289463482,-2.289463482,-2.175561963,-2.175561963,0.628794491,2.53E-13,1,4.24E-20,2.67E-16,1
2669,-28.63469138,0.586063266,-28.63469138,0.586063266,-28.63469138,-22.85115919,-20.78025824,-20.78025824,0.569989383,4.13E-16,1,7.53E-23,1.54E-18,1
2672,-1.889297557,0,-1.889297557,0,-1.889297557,-1.852363006,-1.84620739,-1.84620739,0,2.73E-16,1,2.67E-21,4.09E-18,1
2673,-0.156906555,0.849225879,-0.156906555,0.849225879,-0.156906555,-0.175366191,-0.255358144,-0.255358144,0.861099899,9.78E-14,1,3.98E-19,1.97E-17,1
2677,-3.314938374,0.951185524,-3.314938374,0.951185524,-3.345744964,-3.49054628,-4.196329272,-4.196329272,0.948493659,5.46E-13,1,2.22E-17,3.85E-14,1
2682,-2.212502147,0.803353727,-2.212502147,0.803353727,-2.212502147,0.375346803,1.44304278,1.44304278,0.78117913,5.47E-15,1,7.87E-18,1.19E-14,1
2684,-2.169405323,0.569989383,-2.169405323,0.569989383,-1.969324494,-2.557314813,-2.557314813,-2.557314813,0.337734908,6.69E-16,1,1.50E-19,7.89E-16,1
2688,-13.15241679,0.010074752,-13.15241679,0.010074752,-13.15241679,-4.088428195,2.061667102,2.061667102,0.024407953,8.79E-07,0.5624377,0.43756118,1.74E-07,1
2689,0.036919155,0,0.036919155,0,0.036919155,0.070761723,0.070761723,0.070761723,0,0.001612154,0.9983498,3.79E-05,1.32E-07,1
2692,0.030765961,0.687020838,0.030765961,0.687020838,0.030765961,0.310737394,0.046148946,0.046148946,0.687020838,7.21E-05,0.99991584,4.16E-07,1.15E-05,1
2693,-2.277149518,0.711433172,-2.277149518,0.711433172,-2.277149518,-2.277149518,-2.175561963,-2.175561963,0.725111425,1.61E-13,1,3.60E-13,2.74E-14,1
2700,-0.086144714,0.926684916,-0.086144714,0.934920907,-0.086144714,-0.086144714,-0.169212976,-0.169212976,0.926684916,4.68E-12,1,1.68E-10,2.59E-11,1
2703,-1.609225128,0.665594399,-1.609225128,0.665594399,-1.609225128,-1.224558094,-1.147630304,-1.147630304,0.665594399,2.68E-11,0.999997,2.93E-06,1.71E-11,1
2704,1.446120161,0.205579907,1.446120161,0.205579907,1.446120161,0.676863426,0.255358144,0.255358144,0.463076323,2.81E-13,0.99999785,2.16E-06,1.16E-12,1
2713,0.012306385,0.907190621,0.009229788,0.91280061,0.009229788,0.009229788,-0.123063917,-0.123063917,0.923923969,3.92E-12,0.999869,0.000131006,3.68E-12,1
2714,0.415343329,0.812703788,0.415343329,0.812703788,0.569177571,0.510720214,0.129217122,0.129217122,0.803353727,6.89E-10,0.99984574,0.000154228,3.08E-10,1
2727,-1.483048737,1,-1.483048737,1,-1.483048737,-1.446120161,-0.999933413,-0.999933413,0,3.73E-10,0.9941093,0.005890784,1.38E-08,1
2731,1.049165112,0.725111425,1.049165112,0.725111425,1.049165112,0.658402894,0.658402894,0.658402894,0.65834552,4.32E-15,1,4.28E-13,1.05E-11,1
2732,0.646095887,0.458544701,0.646095887,0.458544701,0.646095887,0.381500115,-1.433810807,-1.433810807,0.284833223,2.78E-10,0.99999857,1.40E-06,1.40E-11,1
2733,-2.514209453,0.643682837,-2.514209453,0.643682837,-2.514209453,-2.067823401,-2.067823401,-2.067823401,0.643682837,9.98E-10,0.99999976,2.09E-07,3.79E-11,1
2735,-14.94418302,1,-14.94418302,1,-14.94418302,-15.37721036,-14.9283917,-14.9283917,1,2.85E-06,0.9999728,2.43E-05,3.54E-12,1
2737,-3.348825589,0.052479357,-3.348825589,0.052479357,-3.348825589,3.407360533,2.588105015,2.800573554,0.553659856,3.57E-12,1,1.38E-12,1.89E-14,1
